Supplement or Pharmaceuticals,Rationale,,Dosage/Notes,Provider
Energin,"B vitamins are critical to various aspects of metabolism. 

Vitamin B1 (thiamine) is a central nutrient in energy production. B1 is critical for various steps in the metabolic chain, and thus combats fatigue and enhances cellular energy production. B1 is very important for gut motility, as the signals in the gut's nervous system depend on vitamin B1 to be produced in adequate amounts. Higher doses of B1 also inhibit the degradation of carbon dioxide, which aids in tissue oxygen delivery, lowering inflammation and blood pressure. Thiamine also has a key role in the antioxidant system, which can help protect against conditions of oxidative damage.

Vitamin B2 (riboflavin) is a nutrient central to energy metabolism, especially the metabolism of fat. This is especially important in the gut, since it relies heavily on fat metabolism to function properly. Riboflavin also assists in the interconversion and breakdown of neurotransmitters like dopamine and serotonin, and even plays a role in the excretion of estrogens. Riboflavin is critical to the antioxidant and methylation systems as well, both of which play huge roles in our overall health. 

Vitamin B3 (niacinamide) is a critical mediator of energy production, enhancing glucose metabolism and lowering lipids that can become elevated in stress. Niacinamide also has mild antimicrobial properties and can protect the gut lining from damage. 

Vitamin B6 (pyridoxal phosphate) is a nutrient central to several aspects of energy production. B6 is also critical for forming neurotransmitters like dopamine, and for supporting the methylation process. 

Vitamin B7 (biotin) is a nutrient that aids in the ""alternative"" metabolism of glucose. It also serves vital roles as a ""builder,"" helping to form larger molecular structures from the food we eat. Biotin supplementation has been shown to be therapeutic in enhancing carbohydrate metabolism and alleviating inflammation. 

This blend should provide a noticeable benefit to energy levels.",,"Start with 6 drops orally in the morning, daily. The vitamins tend to build up over time and this formulation is quite potent. If no effect is noticed after 3-4 days, increase to 12 drops daily, and then if still no effect, 25 drops.",Idealabsdc
Nicotinamide Mononucleotide,"Nicotinamide mononucleotide is an efficient precursor to the molecule NAD+, which is a fundamental energetic substrate that allows cells to metabolize food. NAD+ has been shown to reduce neuroinflammation, reverse energetic dysfunction, improve cognitive function, protect brain cells from death, reduce anxiety and depression, cravings and increase glucose metabolism.",,250 mg (1/16 tsp) daily,"PureBulk, use code ""PRISM"" at checkout for 10% off"
MegaSporeBiotic,"This product contains spore forming bacteria which colonize the gut effectively, and have potent antimicrobial actions on pathogenic bacteria, resulting in their efficacy against many gastrointestinal symptoms. Probiotic therapy can also enhance the efficacy of antimicrobial therapy.",,"The recommended dose, once daily, administered orally, should provide noticeable benefit. ",Microbiome Labs
Seed probiotics,"This product has a combination blend of Lactobacillus/Bifidobacterium probiotics. These are common commensal microorganisms that maintain a favorable gut environment by reducing colonic pH, producing short chain fatty acids that support intestinal metabolism, and produce anti-microbial and anti-biofilm compounds. These blends have been shown to help with gastrointestinal symptoms, and using a multi strain probiotic tends to be more effective than using individual strains. Probiotic therapy can also enhance the efficacy of antimicrobial therapy. Seed has the most biologically relevant strains and potency of any probiotic on the market.",,"2 capsules per day away from food. Continue for at least 2-3 months, as it may take probiotics this long for noticeable improvement.",Seed
Methylene Blue,"Methylene blue is a drug that has been used for over a century in medicine. Its main actions are improving mitochondrial function, lowering excess nitric oxide, and having antioxidant effects. Due to this, it can improve energy levels, mood and cognitive function. Methylene blue has also shown to have antifungal, antibacterial and antiviral properties as well.",,"Start with 1 mg in the morning, dose can be increased up to 15 mg if no effect is seen.","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Grass-Fed Lactoferrin,"Lactoferrin is a protein found naturally in colostrum and milk, which has potent anti-inflammatory, immune regulatory and antibacterial effects in the intestine. It's primary mechanism of action is to regulate iron by increasing its absorption and preventing its toxicity in cells, protecting against both iron deficiency anemia and iron overload. It has been shown in several studies to reduce various GI symptoms.",,"Start with 2 scoops (120 mg) per day. If no effect is seen, the dose can be gradually increased up to 1 gram daily.","LifeGivingStore, use code ""Optimize"" at checkout for 10% off"
Pau D'Arco,"Pau D'Arco is derived from the bark of trees from Paraguay, and has long been heralded for its potent anti-inflammatory, antibacterial and antifungal properties, especially in the gut. Extracts from this tree bark have also demonstrated some potent anti-estrogenic value.",,"Start with 2 scoops (120 mg) per day. If no effect is seen, the dose can be gradually increased up to 1 gram daily.",Nature’s Way
Phosphatidylserine,"Phosphatidylserine is a key component of various cell membranes, especially those with a high metabolic rate such as the brain, liver and heart. It structurally supports the cells of these tissues, which in turn affects various signaling cascades within and between them. Supplementation with phosphatidylserine has thus been shown to have an opposing effect on the HPA axis and aids in cognitive function.",,One capsule (200 mg) before bed.,Solgar
Phosphatidylcholine,"Phostphatidylcholine is a fatty compound which is a major component of our cellular and mitochondrial structure, especially supporting the lining of the intestines. Due to this, it has anti-inflammatory and repairing effects on the gut as well as on the liver. Phosphatidylcholine is also the major constituient of bile. It tends to promote energy production due to its influence on the mitochondria. ",,1 capsule per day with a meal,Double Wood Supplements
Elderberry powder,"Many berries contain anthocyanins, which are compounds that have a number of biological effects. Elderberry is concentrated in these compounds, and has been shown to improve glucose metabolism, prevent obesity and shift the gut bacteria to a more favorable profile. ",,1 teaspoon per day,MRM
Tongkat Ali,"Tongkat Ali is an herb of southeast Asia, which has long been heralded for its medicinal properties. Modern research has shown its efficacy in increasing androgens and sexual performance, as well as reducing the HPA axis and associated stress symptoms, such as anxiety.",,1 capsule (200 mg) daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Taurochenodeoxycholic acid (TUDCA),"TUDCA is one of the body's primary bile acids. It has a multitude of beneficial effects, from raising metabolic rate, improving liver function, and having an anti-inflammatory effect on the gut. It should also help with the digestion of fats.",,2 capsules (250 mg) daily. Be sure to select capsules (not bags).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Triphala,"Triphala is an herbal formulation from the dried fruits of various trees. Triphala has been shown to promote gut motility and repair, while also having anti-inflammatory effects. It has been shown to reduce constipation, mucous, abdominal pain, hyperacidity, and flatulence while improving the frequency, yield, and consistency of stool.",,"2 capsules, once daily in the morning",Organic India
Quercetin,"Quercetin is a compound occurring naturally in foods like onions and grapes. It has key anti-inflammatory properties, particularly on preventing the activation of mast cells that produce serotonin and histamine.",,2 capsules (300 mg) daily. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Glycine,"Glycine is a naturally occurring amino acid found in a variety of foods. Glycine is critical for our antioxidant and detoxification mechanisms and has important anti-stress and anti-inflammatory (including anti-allergic) effects, especially in the gut. It's been shown to help enter a deeper sleep, reduce night time urination, and generally acts as a calming factor in the brain. Additionally, glycine in the brain acts to increase dopamine output, the brain's primary reward, pleasure and focus neurotransmitter. Glycine is also necessary for the production of bile acids, and even has direct antimicrobial effects.",,~1 teaspoon (~4 g) in the evening before bed.,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Masszymes,"While metabolic function may be impaired it can be helpful to add in supplemental digestive enzymes momentarily, to improve the breakdown and absorption of food, while reducing the bacterial and serotonin output.",,"The recommended dose, administered orally prior to meals, should provide noticeable benefit.         ",BiOptimizers
Dissolve-it-all,"These enzymes have several antibacterial and can help to eliminate their associated biofilms. They can also digest and reduce mucus and other old tissue, as well as reducing excessive blood clots.",,"Take one capsule on an empty stomach, 20 minutes before or two hours after a meal.",MitoLife
Grapefruit seed extract,"Grapefruit seed extract has unique antimicrobial properties against bacteria and fungi. Due to this, it can help eliminate mold colonies in the body as part of a mold elimination plan.",,1 capsule (450 mg) per day with breakfast. Be sure to select capsules (not bags) and gel caps (not veg).,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Ultra Binder,"Various environmental toxins and hormones get excreted in feces but can be reabsorbed through the intestines and re-enter circulation, causing systemic issues. This formulation is designed to bind these components for more efficient elimination.",,"Starting with 4 capsules in the morning, away from meals, for a few days, should help alleviate some symptoms. If no response is noticed, adding in a second dose of 4 capsules at night should produce an effect.",Quicksilver Scientific
Ruscio Triple Therapy Probiotics,"This therapy includes 3 types of probiotics: A Lactobacillus/Bifidobacterium blend, Saccharomyces Boulardii, and a spore forming, soil-based blend. Lactobacillus/Bifidobacterium are common commensal microorganisms that maintain a favorable gut environment by reducing colonic pH, producing short chain fatty acids that support intestinal metabolism, and produce antibacterial, antifungal and anti-biofilm compounds. Saccharomyces Boulardii is a yeast with several antibacterial and antifungal effects in the gut that can help protect against overgrowths and infections. Spore forming, soil-based bacteria colonize the gut effectively, and have potent antimicrobial actions on pathogenic bacteria and fungi. All these probiotics individually have been shown to help with gastrointestinal symptoms, and using a multi strain probiotic tends to be more effective than using individual strains. Probiotic therapy can also enhance the efficacy of antimicrobial therapy.",,"1 stick per day, with or without food. Continue for at least 2-3 months, as it may take probiotics this long for noticeable improvement.",Dr. Ruscio Shop
Saccharomyces Boulardii,"S. Boulardii is a yeast that is normally found in the healthy intestine. It helps to maintain the gut environment by preventing adhesion and proliferation of more pathogenic bacteria and fungus, and producing anti-inflammatory metabolites. Supplemented as a probiotic, it has been shown to help in cases of bacterial overgrowth, fungal infection, gut inflammation and diarrhea.",,"One capsule (5 billion CFU) daily, on an empty stomach.",Pure Therapro
Dysbiocide and FC Cidal,"Client information indicates bacterial driven issues. This herbal antimicrobial protocol has been demonstrated to be highly effective in eradicating the bacterial overgrowth, while minimally disrupting commensal bacteria.",,2 capsules twice daily of Dysbiocide and FC Cidal for 4 consecutive weeks,Biotics Research
"NOW
Candida Support","Client information indicates bacterial or fungal driven issues. This blend contains several herbs with both antibacterial and antifungal activity, and minimally disrupts commensal bacteria.",,2 pills per day.,NOW
Caprylic acid,"Caprylic acid is a medium-chain fatty acid found in coconut oil and breast milk, known for its natural antifungal and antimicrobial properties. It helps break down the cell membranes of fungi like Candida albicans, making it useful for controlling fungal overgrowth in the gut and elsewhere.",,2 capsules per day,Pure Encapsulations
Betaine HCl ,"In conditions of low stomach acid production, supplementing in active HCl can help to temporarily alleviate symptoms and start restoring the acid. Betaine can also help in lowering homocysteine, a key inflammatory mediator.",,1-2 capsules daily. Be sure to select capsules (not bags) and gel caps (not veg).                ,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Colostrum,"Colostrum is also known as ""immune milk,"" the milk that is secreted when a child is first born. It is extremely high in immunoglobulins, which can be depleted in times of stress, and help to form key parts of the immune system. These immunoglobulins help to bind and eliminate pathogenic microbes, preventing excessive inflammation in the process. This gives it huge benefits when implemented for immune related conditions, particularly those in the gut, autoimmunity and allergy. Lactoferrin is a protein found naturally in colostrum and milk, which has potent anti-inflammatory, immune regulatory and antibacterial effects in the intestine. It's primary mechanism of action is to regulate iron by increasing its absorption and preventing its toxicity in cells. It has been shown in several studies to reduce various GI symptoms.",,2 scoops (3g) per day,Mt Capra
Cyproheptadine,"Cyproheptadine blocks serotonin signaling in the gut. It has been found highly effective at improving all digestive symptoms, even inducing remission with prolonged use. Cyproheptadine also has profound anti-stress effects, blocking the HPA axis and inducing deep and restorative sleep.",,"Use as needed during periods of intense stress, poor sleep or digestive function.

Start with a single low dose of 0.5 mg in the late afternoon or evening. Its potent anti-stress properties make it ideal for late day use. It should produce a noticeable effect over the next 24-48 hours in terms of digestion and stress tolerance. If symptoms do not improve, the dose can be increased slowly in 1 mg increments. If symptoms do not improve at all up to a dose of 8 mg, the client is unlikely to benefit from higher doses.

Due to anticholinergic effects, cyproheptadine use can result in thirst, sluggish motor skills and overall tiredness when used in excess. These side effects tend to go away with repeated use.",Idealabsdc
SolBan,"SolBan is a topically applied supplement containing aspirin, caffeine and niacinamide (a form of vitamin B3). Aspirin has well-known anti-inflammatory effects, which help to treat certain skin conditions. Caffeine has been shown to enhance the repair of the skin and protect against its damage, even in skin cancer. Niacinamide, by enhancing metabolism in the skin, has the ability to support DNA repair and skin regeneration, effectively acting as an anti-aging remedy for the skin.",,,Idealabsdc
MelaNon,"MelaNon is a topically applied mixture of two flavonoids found primarily in citrus fruits and teas, naringenin and apigenin. These components have been shown to ameliorate inflammation, oxidative damage and even cancer due to UV radiation. They can help stimulate the production of melanin, a potent antioxidant that absorbs UV light and gives skin a darker color.",,,Idealabsdc
Modified citrus pectin,"Modified citrus pectin is a fiber that comes from fruit. This type of fiber helps in the elimination of various toxins, especially heavy metals, by binding to them in the gut and facilitating their excretion in the feces.",,,
Aspirin,"Aspirin is one of the oldest medications that is still in use, with over a century of study confirming its safety and efficacy. Aspirin has well-known anti-inflammatory properties, but it also can reduce estrogen, enhance mitochondrial metabolism, reduce the HPA axis and related stress symptoms, and even act as a cognitive enhancer. These functions result in aspirin’s ability to prevent heart disease, cancer, dementias, and even reverse liver diseases.",,"Dissolve 110 mg (1 scoop) into warm water and drink, once daily. ","Health Natura, use code ""PRISM111"" at checkout for 20% off"
Penicillin VK,"Penicillin VK is an orally active antibiotic. Taken at very low doses, it can help resolve bacterial overgrowth, especially that in the small intestine.",,"125 mg (1/4 pill), 3-4 times daily. This should be spaced relatively evenly throughout the day, taken at least 2 hours away from meals. Can be continued for 3-5 days. Ensure to carefully monitor your response with each dose, and stop if you experience any negative effects.","Medicina Mexico.

Zelle the exact amount (order + shipping) to steve@36.com.mx. In the message accompanying the payment to recipient on Zelle, write ""order number X"" where X is your order number. On your account on the meds.com.mx website, the order will say ""order sent to shipping"" under the order history page once the payment has been received."
Doxycyline,Doxycycline is an antibiotic which can powerfully reduce the bacterial load in the colon and small intestine. Doxycycline also has tremendous anti-inflammatory effects on the gut and systemically.,,"25 mg, which is 1/4 tablet. Break the tablet by hand, by cutting with a knife, or just by biting off half of it. Chew on it and swallow. Doing this twice daily, at least an hour before meals, for 2-3 days is a good starting point. Unlike many antibiotics, doxycycline is bacteriostatic, meaning it simply stops bacterial reproduction instead of directly killing bacteria. Due to this, the full effects may take anywhere from 2-10 days to fully manifest after it is taken. If little response is seen, the dose can be increased to 25 mg, twice daily for up to a week. Discontinue if there is no response at this point. These short courses may have to be repeated multiple times to achieve the desired effect. It is normal for symptoms to resurface temporarily, but over time the problem should be corrected.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Minocycline,Minocycline is an antibiotic which can powerfully reduce the bacterial load in the colon and small intestine. Minocycline also has tremendous anti-inflammatory effects on the gut.,,"25 mg, which is 1/4 tablet. Break the tablet by hand, by cutting with a knife, or just by biting off half of it. Chew on it and swallow. Doing this twice daily, at least an hour before meals, for 2-3 days is a good starting point. Unlike many antibiotics, minocycline is bacteriostatic, meaning it simply stops bacterial reproduction instead of directly killing bacteria. Due to this, the full effects may take anywhere from 2-10 days to fully manifest after it is taken. If little response is seen, the dose can be increased to 25 mg, twice daily for up to a week. Discontinue if there is no response at this point. These short courses may have to be repeated multiple times to achieve the desired effect. It is normal for symptoms to resurface temporarily, but over time doses should be progressively decreased, and the problem should be corrected.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
N-Acetylcysteine,"N-Acetylcysteine (NAC) is an amino acid which serves as an efficient precursor for the protein, glutathione, which aids in lowering inflammation, aiding in detoxification and antioxidant support. NAC also is able to oppose excess excitation in the brain by lowering the functioning of glutamate.",,1-2 capsules daily. Be sure to select capsules (not bags) and gel caps (not veg).                ,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Albendazole,"Albendazole is a broad spectrum anti-parasitic agent. It has demonstrated exceptional safety. Parasites can cause digestive symptoms and waking in the night. Thus, a short course of albendazole is a good way to rule out or treat a parasitic infection in the gut.",,"Take 400 mg (one tablet) daily for 3 days in a row. Then, take another tablet about 30 days later to handle any eggs that may have been laid by the parasites. Even if you do not have parasites, Albendazole is very safe, is unlikely to cause any side effects and is only continued for a very short period of time.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Allopregnanolone,"Allopregnanolone is a metabolite of progesterone and is our body's primary inhibitory neurosteroid. It has profound calming effects by acting on the GABA system, and also dampens the HPA axis response, lowering our systemic stress levels. Allopregnanolone also has striking anti-inflammatory and anti-serotonin effects in the gut.",,5-10 mg in the evening.,Idealabsdc
BPC-157,"BPC-157 is a peptide that naturally occurs in the gut. It acts as a cell stabilizing factor, which protects against the injury of the gut lining and supports its healing. BPC-157 also tends to have neuroprotective effects, therapeutic for the nervous system tissue, and even has anti-serotonin properties.",,"500 mcg, once daily.","Limitless Life Nootropics, use code ""PRISM7"" for 15% off"
Diphenhydramine,"Diphenhydramine is a powerful anti-histamine, and consequently can reduce symptoms such as sensitivity, pain and distention. Diphenhydramine may also contribute to deeper sleep.",,12.5 mg to 25 mg per day before bed,Genexa
Bioidentical hydrocortisone,"Very low levels of HPA axis function can be result from prolonged or chronic stress. In this instance, it can be helpful to add in these hormones for short periods of time to get back to homeostasis. ",,"30mg per day:

10mg upon waking 
10mg 3 hours later 
5mg four hours later
2.5mg four hours later
2.5mg right before bed",
Low dose naltrexone ,"At very low doses, naltrexone can modulate the key inflammatory pathways that can drive many systemic symptoms, especially in the gut.",,"1.5mg per day to start, increasing to 4.5mg per day as needed over time.","ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option."
Taurine,"Taurine is an amino acid that occurs naturally in animal foods. Taurine has been shown to have wide ranging beneficial effects. It improves glucose metabolism through its beneficial effects on mitochondrial function, and improving the liver's capacity to store carbohydrate. Taurine also aids in liver and digestive function due to its anti-inflammatory effects in response to endotoxin. It's also a neurotransmitter that has calming effects on the brain. Taurine is necessary for the synthesis of bile acids, which are critical to digestion, and it seems to have some antibacterial properties as well.",,1 capsule daily. Be sure to select capsules (not bags) and gel caps (not veg).                ,"PureBulk, use code ""PRISM"" at checkout for 10% off"
Cistanche tubulosa,Cistanche tubulosa is a desert plant used traditionally in Chinese medicine. It has shown the ability to increase androgens through upregulating the amounts of steroid producing enzymes. Cistanche also has important antioxidant and anti-inflammatory qualities that potentiate these effects.,,,
