Diagnostic,Implication,,Prism's Ranges ,Where to get
Immunoglobulin E (IgE),"Immunoglobulin E (IgE) is a type of antibody that plays a critical role in mediating allergies and the response to infection. Elevated levels can suggest the presence of an underlying allergy or chronic bacterial, fungal or parasitic infection.",,0-100IU/mL,
Lipoprotein(a),"Lipoprotein(a) is a carrier of various fat soluble substances, primarily triglycerides and cholesterol. It is considered a risk factor for heart disease due to pro-inflammatory and pro-clotting properties. One of its primary functions is to sequester oxidized LDL, a toxic byproduct of excess polyunsaturated fat intake and oxidative damage. Elevated levels can thus be a proxy for these processes.",,,
Homocysteine ($22.95),"Homocysteine is a compound that is an intermediate of the methylation process. Methylation is critical to synthesizing and modifying DNA, neurotransmitters, and other important molecules within the body. Homocysteine can accumulate when there are deficiencies of vitamins B2, B6, B9 and B12, or nutrients choline, betaine, or glycine. It has numerous deleterious effects, contributing to oxidative stress, inflammation, mitochondrial dysfunction and excess excitation in the brain. Elevated homocysteine has been found in numerous inflammatory conditions.",,<6 umol/L,Ulta Lab Tests
D-Dimer ($54.28),"The D-dimer test measures a protein fragment produced when a blood clot is broken down. Elevated levels suggest active clot formation and degradation, making it useful for detecting conditions like deep vein thrombosis (DVT), pulmonary embolism (PE), or ongoing microclotting, as seen in long COVID. While a high D-dimer indicates clot activity, it’s nonspecific and should be interpreted alongside other clinical findings.",,,
Sed Rate by Modified Westergren (ESR) ($22),"The erythrocyte sedimentation rate (ESR or sed rate) measures how quickly red blood cells, in anticoagulated whole blood, settle at the bottom of a standardized tube over the course of one hour. It serves as a non-specific indicator of inflammation. ESR is affected by the clumping of red blood cells, known as aggregation. Blood plasma proteins, primarily fibrinogen, encourage the formation of red cell clusters. While aggregation occurs even at normal physiological fibrinogen levels, these levels tend to rise during inflammatory processes, resulting in an elevated ESR.",,0-14MM/HR,Ulta Lab Tests
hs-CRP ($14.95),"C-reactive protein, a substance produced by the liver in response to inflammation in the body. It is a non-specific marker of inflammation and is used to evaluate the presence and intensity of inflammation. The CRP test helps assess the severity of an inflammation that may drive symptoms.",,<1 mg/L,Ulta Lab Tests
GI-MAP,"Suspected bacterial, fungal or parasitic overgrowths, which contribute to numerous systemic and gastrointestinal symptoms, can be detected using stool samples.",,,
Alkaline Phosphatase (ALP),"This is an enzyme that plays a critical role in maintaining intestinal homeostasis, reducing inflammation, and detoxifying endotoxin. Elevated levels suggest liver damage or intestinal inflammation.",,44-121 IU/L,
Absolute Monocytes,"Absolute Monocytes measures the number of monocytes. Monocytes are immune cells that can mature into phagocytes, which are cells that engulf and destroy pathogens. Elevated levels can be suggestive of an underlying infection.",,387.5-762.5 cells/uL,
Monocytes,"Monocytes measures the percentage of white blood cells that are monocytes. Monocytes are immune cells that can mature into phagocytes, which are cells that engulf and destroy pathogens. Elevated levels can be suggestive of an underlying infection.",,,
Absolute myelocytes,Absolute myelocytes measures the number of myelocytes. Myelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Myelocytes,Myelocytes measures the percentage of white blood cells that are myelocytes. Myelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute metamyelocytes,Absolute metamyelocytes measures the number of myelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Metamyelocytes,Metamyelocytes measures the percentage of white blood cells that are metamyelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute promyelocytes,Absolute promyelocytes measures the number of myelocytes. Promyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Promyelocytes,Promyelocytes measures the percentage of white blood cells that are metamyelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute nucleated red blood cells,"Absolute nucleated red blood cells measures the number of nucleated red blood cells. Nucleated red blood cells are red blood cell precursors. A high level of nucleated red blood cells suggests a high demand for the genesis of new red blood cells, often indicative of conditions including anemia, myelofibrosis, thalassemia, miliary tuberculosis, cancers involving bone marrow (myelomas, leukemias, lymphomas), and in chronic hypoxemia.",,,
Nucleated red blood cells ,"Nucleated red blood cells measures the percentage of red blood cells that are nucleated. Nucleated red blood cells are red blood cell precursors. A high level of nucleated red blood cells suggests a high demand for the genesis of new red blood cells, often indicative of conditions including anemia, myelofibrosis, thalassemia, miliary tuberculosis, cancers involving bone marrow (myelomas, leukemias, lymphomas), and in chronic hypoxemia.",,,
LDL Particle Number,"LDL cholesterol is the most common circulating cholesterol containing lipoprotein, which can be thought of as a ""boat"" that carries around fat soluble substances in the blood. HDL is another type of lipoprotein that primarily carries cholesterol. If these lipoproteins become too rich in triglycerides, which are the types of fat stored in fat tissue, they become smaller and more dense. A predominance of small, dense LDL particles (subclass pattern B) is linked to higher levels of triglyceride-rich lipoproteins and lower HDL levels compared to individuals with predominantly larger LDL particles (pattern A). These smaller lipoproteins are more susceptible to the damage that causes atherosclerosis or the clotting of arteries.",,,
LDL Small,,,,
LDL Medium,,,,
HDL Large,,,,
LDL Pattern,,,,
LDL Peak Size,,,,
Ochratoxin A,"Ochratoxin A is a type of mycotoxin, a compound produced my mold and other fungi. Exposure can be from airborne sources such as mold accumulation in water damaged buildings, or from food. It can induce mitochondrial dysfunction, oxidative stress and increase endotoxin levels systemically. It is capable of causing liver damage and increasing inflammation in the gut.",,,
